word,group,fit,lwr,upr,word_caps,nLangs,nRegions,cardinal,topCardinal,fitProp_fit,fitProp_lwr,fitProp_upr,obs,obs_OR,myvar
air,consonant,-0.208813021225353,-0.339225988023232,-0.081436845664374,AIR,108,6,ɟɣʎɲlcmnɦtgxçzsdṇʔbṃṛἠ,ɟ,0.481571941821835,0.456908997031157,0.506173134879574,0.495480395941474,-0.184392389074023,vowelConsonant
all,consonant,0.05473973084555,-0.044460155131517,0.155124717978413,ALL,227,6,ṇgmhʎclɦʔbɽrvp,m,0.527381263327564,0.507158111327371,0.546874401411465,0.5256329566883,-0.010258085141804,vowelConsonant
angry,consonant,0.056021216873979,-0.048252869270815,0.161998899727156,ANGRY,199,6,rxfṇɲgʔkjŋsʎzl,k,0.527533326209688,0.507317278065636,0.548380562391838,0.532992091655628,0.032357108877075,vowelConsonant
animal,consonant,-0.035295006837855,-0.140481921903616,0.073802851191819,ANIMAL,182,6,ɟçpfɣtkrʔṇɲṃṛἠcs,ɟ,0.511888818110042,0.490791665204455,0.532831130760305,0.521397884165262,-0.034752083663472,vowelConsonant
ant,consonant,0.058965688637093,-0.058255721875523,0.17850428773868,ANT,161,6,ɽzṃɦsɲhdʔknɟrʎ,k,0.527890438779444,0.504947144388563,0.550819121679649,0.540714220136278,0.077164144457739,vowelConsonant
arm (lower),consonant,0.056173584260122,-0.043576505016938,0.153936480727683,arm (lower),228,6,ʎṃbɲlŋɬxɟgpcmkn,k,0.527559979134103,0.507404236635458,0.547130691153221,0.53674092025908,0.054096590875446,vowelConsonant
arm (upper),consonant,0.05588405920804,-0.042295859396233,0.152555479933621,arm (upper),225,6,ṃŋblʎɲɬxgcpmkn,k,0.527357680157175,0.507939321847684,0.547744147993671,0.536333202193093,0.051731108144597,vowelConsonant
ashes,consonant,0.151880527630906,0.054372939363905,0.253735268951518,ASHES,217,6,pɦfçɣbhlztxcɟjɲk,t,0.544023564353393,0.524775538083406,0.564249940669144,0.551250511398015,0.138487756997427,vowelConsonant
back,consonant,0.178725017642611,0.074280599707676,0.28344399395525,BACK,217,6,gɽɦʎŋçbkzdrɲtvʔspɟ,k,0.54858747503708,0.528653154518345,0.569354349420269,0.556376263410646,0.168414273899802,vowelConsonant
bad,consonant,0.074447908525189,-0.02742148264311,0.175261218006324,BAD,231,6,cɽʎsɣxɦṇrkdjç,s,0.530591233312298,0.510550242840761,0.550812621409692,0.535171646387578,0.044993573216312,vowelConsonant
bark,consonant,0.056106793520227,-0.048606063708684,0.160726935098008,BARK,206,6,ʎfpɣçɬtɽrklɦvʔhsb,t,0.527565678847765,0.506772941704474,0.548249612953147,0.536123330116185,0.050513590602949,vowelConsonant
beautiful,consonant,0.045687654067615,-0.067194879755569,0.157710488325139,BEAUTIFUL,166,6,zɽsrɬŋɦbɣmlhjv,s,0.525484455672518,0.503867868115271,0.547789777855395,0.525206356971525,-0.012726277855705,vowelConsonant
because,consonant,0.084021551550728,-0.026434185887722,0.194096514044503,BECAUSE,163,6,ɣbkvmngɦxrd,k,0.532345094650172,0.510666144575579,0.554114433918285,0.533857306204173,0.03737248603306,vowelConsonant
before,consonant,0.014209574655282,-0.094484378180409,0.119589267198649,BEFORE,188,6,ʎfɲgɽlndvtŋrb,t,0.520156441926926,0.498260462080646,0.541366876899099,0.5230975206567,-0.024924388300321,vowelConsonant
behind,consonant,0.074339467765455,-0.031294373740094,0.178323650733728,BEHIND,199,6,gbprknçhʎ,k,0.530623622342645,0.509989638662969,0.551120152282351,0.534820249542754,0.042955756197659,vowelConsonant
belly,consonant,0.085875765359578,-0.011054817604508,0.182490099508911,BELLY,236,6,ɽbʔlpɟtghkrfcɦʎ,t,0.532623506668586,0.51316867742938,0.551607807160048,0.542153109016521,0.085525076265738,vowelConsonant
below,consonant,0.045647472392335,-0.057252960553201,0.145746890841917,BELOW,198,6,ṇɟɣɽnlrhjɦkgʔɲdptʎɬb,k,0.525775774558083,0.505241275742398,0.545490908580105,0.530011412461176,0.015087662491532,vowelConsonant
