ipa,unicode,height,backness,roundedness,extreme,extreme_roundedness,manner,manner_voicing,position,position_voicing,voicing,gr35,gr60,cardinal,cardinal_ipa
ʏ,ʏ,high,front,rounded,high-front,high-front-rounded,,,,,voiced,high-front,high-front-rounded,y,y
ɪ̃,ȋ,high,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,ĩ,ĩ
ɨ,ɨ,high,central,unrounded,high-back,high-back-unrounded,,,,,voiced,high-back,high-back-unrounded,ɨ,ɨ
ɘ,ɘ,mid,central,unrounded,high-back,high-back-unrounded,,,,,voiced,high-back,high-back-unrounded,ə,ə
ə,ə,mid,central,unrounded,high-back,high-back-unrounded,,,,,voiced,high-back,high-back-unrounded,ə,ə
ɜ,ɜ,mid,central,unrounded,low-back,low-back-unrounded,,,,,voiced,low-back,low-back-unrounded,ə,ə
ʉ,ʉ,high,central,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,ʉ,ʉ
ɵ,ɵ,mid,central,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,ɵ,ɵ
ɨ̃,ᶖ,high,central,unrounded,high-back,high-back-unrounded,,,,,voiced,high-back,high-back-unrounded,ᶖ,ɨ̃
ə̃,ᶕ,mid,central,unrounded,high-back,high-back-unrounded,,,,,voiced,high-back,high-back-unrounded,ᶕ,ə̃
ʉ̃,ᶙ,high,central,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,ᶙ,ʉ̃
ɯ̞,ω,high,back,unrounded,high-back,high-back-unrounded,,,,,voiced,high-back,high-back-unrounded,ɯ,ɯ
ʊ,ʊ,high,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,u,u
ʊ̃,ů,high,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,ũ,ũ
ɯ,ɯ,high,back,unrounded,high-back,high-back-unrounded,,,,,voiced,high-back,high-back-unrounded,ɯ,ɯ
ɤ,ɤ,mid,back,unrounded,high-back,high-back-unrounded,,,,,voiced,high-back,high-back-unrounded,ɤ,ɤ
ʌ,ʌ,mid,back,unrounded,low-back,low-back-unrounded,,,,,voiced,low-back,low-back-unrounded,ɤ,ɤ
ɑ,ɑ,low,back,unrounded,low-back,low-back-unrounded,,,,,voiced,low-back,low-back-unrounded,ɑ,ɑ
u,u,high,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,u,u
ṵ,ŭ,high,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,u,u
ṳ,ū,high,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,u,u
o,o,mid,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,o,o
o̰,ö,mid,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,o,o
o̤,ō,mid,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,o,o
o̞,ȯ,mid,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,o,o
ɔ,ɔ,mid,back,rounded,low-back,low-back-rounded,,,,,voiced,low-back,low-back-rounded,o,o
ɒ,ɒ,low,back,rounded,low-back,low-back-rounded,,,,,voiced,low-back,low-back-rounded,ɒ,ɒ
ɯ̃,ⱳ,high,back,unrounded,high-back,high-back-unrounded,,,,,voiced,high-back,high-back-unrounded,ⱳ,ɯ̃
ɤ̃,ᶌ,mid,back,unrounded,high-back,high-back-unrounded,,,,,voiced,high-back,high-back-unrounded,ᶌ,ɤ̃
ʌ̃,ᶐ,mid,back,unrounded,low-back,low-back-unrounded,,,,,voiced,low-back,low-back-unrounded,ᶌ,ɤ̃
ũ,ũ,high,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,ũ,ũ
ṵ̃,ǔ,high,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,ũ,ũ
ṳ̤̃,û,high,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,ũ,ũ
õ,õ,mid,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,õ,õ
õ̰,ǒ,mid,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,õ,õ
õ̤,ô,mid,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,õ,õ
õ̞,ỏ,mid,back,rounded,high-back,high-back-rounded,,,,,voiced,high-back,high-back-rounded,õ,õ
ɔ̃,ᶗ,mid,back,rounded,low-back,low-back-rounded,,,,,voiced,low-back,low-back-rounded,õ,õ
