"word","b","c","ç","d","f","g","ɣ","h","ɦ","j","ɟ","k","l","ɬ","ʎ","m","ṃ","n","ṇ","ɲ","ŋ","p","r","ṛ","ɽ","s","t","v","x","z","ʔ","ἠ"
"air",0.0400831669993347,0.00534257411103718,0.00534257411103718,0.0336119964656225,0.0337384243857963,0.0189561371084991,0.001,0.083756511668022,0.001,0.0530724688189758,0.001,0.121891303812129,0.0258867203863877,0.00974294444620459,0.001,0.0475365424354114,0.001,0.0590875145652258,0.001,0.00996296296296296,0.0261645351272763,0.0541617259308543,0.0759711441314901,0.001,0.00534257411103718,0.069871048027402,0.0703002495890054,0.0874919050787314,0.0133512481210419,0.00746854439269609,0.0338651832138193,0.001
"all",0.0386289183747043,0.0131765983451599,0.00513214100433494,0.0306721095254425,0.00646546261368599,0.0363588036848476,0.00233332160935105,0.0633498963893066,0.00196694716294284,0.0387768750311418,0.00196694716294284,0.103453288514224,0.0519951023064004,0.00298888985193029,0.00453156828780032,0.0895810573105938,0.001,0.0807476061093672,0.00233332160935105,0.00319824667844927,0.0134711047801607,0.0500626148583889,0.0553527804889487,0.001,0.00334479645701255,0.0822159176507484,0.108961252238548,0.049080044651624,0.0100860862709236,0.00752146514606616,0.0392468358856024,0.001
"angry",0.0301827199871614,0.00928969865963216,0.00922411458490055,0.0207408332413899,0.0136197186865799,0.0304350795895646,0.00225377385931654,0.037539505296223,0.001,0.0512609120118223,0.00696732163813077,0.115649281002484,0.046534177875405,0.00571354777881423,0.00392547233840527,0.0647048984108834,0.001,0.0636779744693866,0.00335677388940712,0.0131362099920761,0.0242753712484101,0.0382100823478671,0.100444848995476,0.001,0.00183584923954436,0.0873130818569088,0.0942432349510555,0.0486761986913944,0.0249730433626862,0.00785396376426377,0.0399623122308104,0.001
"animal",0.033967676368874,0.0123129638159578,0.00357691210984624,0.0381358674592208,0.00617175173462599,0.0278658287819964,0.00237088460441754,0.0487123018919426,0.00237088460441754,0.0598089002528695,0.001,0.0850401262710929,0.051049010647813,0.00631868131868132,0.0078723505370212,0.103834399576915,0.001,0.106045938821816,0.001,0.00876834609169938,0.0305734976932582,0.0273192296725231,0.0503877007888984,0.001,0.00648353841767015,0.0832805503592501,0.0787948585647474,0.0530990058954131,0.0208500581255072,0.0103220153100393,0.0296667202834867,0.001
"ant",0.0214077382059306,0.00715626717579334,0.00203313042651757,0.0406053488999522,0.00188554036558648,0.021723406189691,0.00391303108069575,0.0644853097708753,0.00306626085303513,0.0351982677649729,0.00804555278676601,0.115241087774171,0.036919564597513,0.00391303108069575,0.00494616150721332,0.0711633947918026,0.00223975651182108,0.0934056931980464,0.001,0.0140863187358892,0.0192236272796023,0.0486991240825064,0.0599178413359616,0.001,0.0106425506474973,0.112461553674668,0.0980742045436879,0.0313740345396164,0.0109899745023411,0.0147037371574508,0.0394784905197,0.001
"arm_lower",0.0533879259025808,0.011545592190723,0.00539152105146432,0.030105648352418,0.00620832020170186,0.0294047343908674,0.00378654387132168,0.0378606512955709,0.001,0.0442858493539237,0.00949122807017544,0.107524248078613,0.0622051919552707,0.00863009653208203,0.00730262282452639,0.0788488570061214,0.00232747370755565,0.0963212222172197,0.001,0.0134164069521775,0.0269414270873458,0.0526443937521782,0.0429911988887722,0.001,0.00245907016376603,0.0658425238078563,0.0903301700692183,0.0446769852108648,0.023818736795415,0.00552311750767471,0.0327282427625951,0.001
"arm_upper",0.0540864315812819,0.0116862000865993,0.00558342574111037,0.0297399600798403,0.00627776447105788,0.0288963495231759,0.00382369778960597,0.0362676910728807,0.001,0.0446412153470836,0.00738665779552007,0.110718800705467,0.0633908922894951,0.0087318311525098,0.00604148443853035,0.0792809306255214,0.00234517335698972,0.096904374108925,0.001,0.0133007555259851,0.0289136896577216,0.0520023136795193,0.0452658860057662,0.001,0.00247852443261625,0.0631955952644975,0.0908189398979818,0.0427088903674133,0.0238867065868263,0.00558342574111037,0.0320423926749675,0.001
"ashes",0.0513828226802923,0.00952189323350227,0.0115764507850658,0.0332906751780617,0.0185818194639906,0.0212946978546747,0.00748384337316151,0.06749243652991,0.00408110047186733,0.0458134882309114,0.00700889771915462,0.0971190736805958,0.0547959738485139,0.00556077093125577,0.00345285159328041,0.0597723355133052,0.001,0.059878270085533,0.001,0.00992165898617512,0.00998327461819832,0.0946082325875642,0.0408040048934389,0.001,0.00214977418435019,0.0709814503098258,0.108736890785761,0.0474937242769964,0.0172118159993377,0.0103898225055266,0.0256119496797496,0.001
"back",0.044959123228198,0.00901687561896177,0.00887860837464855,0.0418960021585094,0.00513093321804931,0.0539919209200646,0.00253303224580026,0.0370792078340576,0.00455604612587421,0.0255092295111335,0.0068555944945746,0.128571267238035,0.0373148848232874,0.00290577575008713,0.00622734561598769,0.0617968211043351,0.001,0.0602136414757348,0.001,0.0125278138040356,0.0275816017734117,0.0475698578703904,0.0629014873478849,0.001,0.0075153870446511,0.080503464579874,0.104087046300932,0.0546711645832758,0.0170119331230013,0.0101981934748015,0.0339957403604027,0.001
"bad",0.0286024228599079,0.0213029438957583,0.00647107804592835,0.0351806134175681,0.0059323377569742,0.0222107732586775,0.00855802598060939,0.0428120279745601,0.00339032468972589,0.0470204670025029,0.00425439741008603,0.108442554593966,0.0446149445080155,0.00231023378927571,0.00640045450225091,0.0641735712248971,0.001,0.0704997405724523,0.00303029438957583,0.00807071859167668,0.0165956830926891,0.0432661747212645,0.0703660923874782,0.001,0.00762455752276112,0.129246321621856,0.0829967074714722,0.0491835685462717,0.0276396318885626,0.00676048480240097,0.0300428534808347,0.001
