"word","a","ã","ɑ","ɒ","b","c","ç","d","e","ẽ","ə","ᶕ","ɤ","f","g","ɣ","h","ɦ","i","ĩ","ɨ","ᶖ","j","ɟ","k","l","ɬ","ʎ","m","ṃ","n","ṇ","ɲ","ŋ","o","õ","ø","ⱺ","ɵ","p","r","ṛ","ɽ","s","t","u","ũ","ʉ","ᶙ","ɯ","v","ᶌ","ⱳ","x","y","ỹ","z","ʔ","ἠ"
"outside",0.168834643792454,0.00570440409970487,0.00739935695444982,0.00273704367913918,0.0191113639291395,0.00433512332357282,0.001,0.0214873120570558,0.057325191531368,0.001,0.00846055483907698,0.001,0.00163325126396952,0.00362346952215945,0.0232303867006138,0.001,0.0279690921918953,0.001,0.0681428573036829,0.00353300505587809,0.00577664974619289,0.001,0.0258138325498124,0.00327970455029028,0.053375396773494,0.0303266955734812,0.00493450780553732,0.00621075325780636,0.0270559593670023,0.001,0.0445758541735319,0.001,0.005101055804755,0.00668933569489817,0.053733875894975,0.001,0.001,0.001,0.001,0.0323852647617504,0.0310543060201408,0.001,0.00317114719075265,0.0415504462833257,0.0547483326795768,0.0495923618076875,0.001,0.00273704367913918,0.001,0.00327970455029028,0.0353807005863603,0.001,0.00184433501862603,0.0037440888105346,0.00311083754656508,0.001,0.00594539082338104,0.0230553628059327,0.001
"oZ_fs",0.161856520424975,0.00777208591196924,0.0129225383282077,0.00246865924802755,0.0176622464483224,0.0050029326183113,0.00790455712323565,0.020140061296598,0.0576080868808375,0.00367885551874655,0.00616659969794045,0.00242775964523028,0.00439092915742192,0.0022492896895765,0.0110930073907638,0.001,0.024079695169251,0.001,0.0911271852447356,0.00242775964523028,0.00563352646162134,0.001,0.0244026148556593,0.00309064805194434,0.0533123639239391,0.0187552110167566,0.00468837908351157,0.00242775964523028,0.0354944245391269,0.001,0.0680022313769765,0.001,0.00542605490021388,0.0124913489114358,0.0406516217409281,0.00414627683117313,0.001,0.001,0.001,0.0305491089958721,0.0226799157008866,0.001,0.00207081973392271,0.0388767426366306,0.0580727464581856,0.0509436646227997,0.00249574819976506,0.001,0.001,0.00218979970435857,0.0204886576629528,0.00147591988174343,0.001,0.00827451384078045,0.00161189699081298,0.001,0.00379602930524264,0.0229732054881498,0.001
"oZ_ms",0.159144174807753,0.00832124605904705,0.0124266162710041,0.00341169575742133,0.0181471413030847,0.00578800130235982,0.00890750130943786,0.0184605493297301,0.0592648959115515,0.00403355234819116,0.00764956908203182,0.00241560849931343,0.0044734021319064,0.00308802253648731,0.0102993052058666,0.001,0.0243686237171192,0.001,0.08372384903357,0.00326497359890149,0.00736360281800465,0.001,0.0255718652147347,0.00307285530256609,0.054688905634835,0.0180076305342709,0.00465698862322636,0.0034773148737985,0.0371523723997775,0.001,0.0624706288801258,0.001,0.00670287995437696,0.0104656262410881,0.0446301873690076,0.00341169575742133,0.001,0.001,0.001,0.0312784416774224,0.0261001517086369,0.001,0.00312341274897014,0.0426089890178054,0.0516041786707049,0.0483801377389815,0.00248301842785216,0.001,0.001,0.00147186949977114,0.0224040782903058,0.00147186949977114,0.001,0.00859009868450561,0.00160668935684861,0.001,0.00306442906149875,0.0229513538089153,0.001
"oZD_fs",0.134126781482046,0.00622899424457798,0.0122395994759962,0.00297048139745354,0.0156866638703958,0.00177484781988817,0.00522122982665252,0.0119530130341675,0.0689591785391242,0.00239472607579871,0.00496540705437198,0.001,0.00161987825591054,0.00509562419083749,0.0174884925309294,0.00531871224447562,0.0204235378919055,0.00223975651182108,0.0881766559755179,0.00188554036558648,0.0103286708828048,0.00177484781988817,0.0353593166261742,0.00580673993895997,0.0486201796602734,0.0183875870571671,0.00555330746374745,0.00487423909944087,0.0451944582831629,0.001,0.0516955338417755,0.001,0.00701798473446482,0.00828155691520887,0.0541159305107682,0.00322876400408293,0.001,0.001,0.001,0.0236092319855105,0.0284897232201134,0.001,0.001,0.0446553761247107,0.0570989806984526,0.037380413845806,0.001,0.001,0.001,0.00188554036558648,0.0397361812028008,0.00271219879082415,0.001,0.0159934457669051,0.0044858088936268,0.001,0.00600129047382367,0.0149435710064639,0.001
"oZD_ms",0.141344760436147,0.00589458182195962,0.00996204736404569,0.00284446223831407,0.0201629260214067,0.00269235173064723,0.00495126745401777,0.0127031168401451,0.0636111467624836,0.00230552847792787,0.00477627598254948,0.001,0.00158023487907905,0.0048336947367723,0.019045052871435,0.00600957366296456,0.02076553329798,0.0021604697581581,0.0886087428253561,0.00232639538199349,0.00840567445598082,0.00172529359884881,0.0306497256167219,0.00356521588856918,0.0461156508742151,0.0208903362879829,0.00598740116665893,0.0060770551919417,0.046865242371857,0.001,0.0501414127592585,0.001,0.00872840623662236,0.0102979918213173,0.0503259577551807,0.00308622677126367,0.001,0.001,0.001,0.0238830653736656,0.0280210703682017,0.001,0.00260269770536446,0.0460473495349905,0.0540523472386026,0.041875849929777,0.0021604697581581,0.001,0.001,0.00182890697011293,0.0385114378212832,0.00260269770536446,0.001,0.0133466065955274,0.0042628792550809,0.001,0.00568144050166053,0.0136834279024085,0.001
"oZS_fs",0.127829827142721,0.00893697786553693,0.012373368869198,0.00211269945657817,0.0174591317545525,0.00375620884114879,0.00534964239792733,0.0130643771460187,0.0603572320031425,0.00164097880026716,0.00530233671402201,0.001,0.00172110115030056,0.00268256935070129,0.0125647367386663,0.004195032789024,0.0164236704047718,0.0013393417177885,0.0826039629180542,0.00384742505503296,0.00852970659536718,0.00211269945657817,0.0327534871670416,0.00196146820040074,0.0508682913367417,0.0198660272805162,0.00523747110788058,0.00388440460120222,0.037301021196584,0.001,0.0519707951817992,0.001,0.00586914967202946,0.00855730654314989,0.0585781978595311,0.00556697395190351,0.001,0.001,0.001,0.0273466770439225,0.0260755284507908,0.001,0.00244220230060111,0.0522443800512403,0.067837140511122,0.0450575510035448,0.001,0.001,0.001,0.00215376184048089,0.0401453462601225,0.00259343355677854,0.001,0.0167525489187945,0.00360761830108686,0.001,0.00316330345090166,0.0209628870444349,0.001
"oZS_ms",0.142751628014572,0.00837341623457915,0.0125203314186332,0.00205189620758483,0.0161442152685567,0.00496898976788378,0.00443026030513351,0.012405121564269,0.0548475050781585,0.00160595263631813,0.00754312125006801,0.001,0.0016816967158579,0.0025906256703351,0.0148413565657439,0.00492936978781683,0.0168077654136684,0.00132079845452137,0.0827407101228446,0.00402956580084292,0.00687158052074122,0.00205189620758483,0.0314794163210445,0.00372678686343161,0.0488226451333352,0.0212911723838068,0.00568761202549364,0.00509018029514741,0.041318392874615,0.001,0.0503823978445921,0.001,0.00675222181190572,0.00686318196998476,0.0468860098765534,0.00531741253376671,0.001,0.001,0.001,0.0271098232465046,0.0279361102781052,0.001,0.00177908196098046,0.0535063842219367,0.0646153613857877,0.0478153873041379,0.0019089289544772,0.00209071474537264,0.001,0.00209071474537264,0.0417393573635843,0.00250636068482343,0.001,0.014305259720822,0.00346512549774878,0.001,0.00440848357928951,0.0145976733716664,0.001
"part",0.120974268730215,0.001,0.0105279347846363,0.00202177576311551,0.0389391407741623,0.0101052971937744,0.0066853458192649,0.0188994578710847,0.070657227600873,0.00233244858747125,0.0115154719488482,0.001,0.001,0.00886144666608039,0.00855054199567043,0.01081616828648,0.0265796695951153,0.001,0.106536976550911,0.001,0.00441995137450955,0.001,0.01587217505758,0.001,0.0398363727106802,0.0398567133241709,0.00233244858747125,0.0018479218283908,0.0318393506307771,0.001,0.0278861868757218,0.001,0.00466423361554594,0.00233244858747125,0.0566828313179536,0.001,0.001,0.001,0.001,0.03043624189094,0.0217750942263226,0.001,0.00333178502807469,0.0394224025726068,0.0693204989545579,0.0376208242171642,0.00410904670409959,0.001,0.001,0.00286542802245975,0.0368095557882899,0.001,0.001,0.0261095898585965,0.001,0.001,0.001,0.0246257266589126,0.001
"path",0.126468362983498,0.00720255513437956,0.00879418271364654,0.00348531377611749,0.0283228315995992,0.00415929710405896,0.00371421377428629,0.0293952339043533,0.0466259903264793,0.00177401378980789,0.00907735511938116,0.001,0.00366334710802656,0.00432461376940309,0.0200046563874779,0.0019155999926752,0.023828915926702,0.001,0.0835337706104338,0.00248636362447273,0.00738762754089898,0.002144499990844,0.0287134149298078,0.0042045999743632,0.0446839590607101,0.0296458603768937,0.0042863499737092,0.002525999987792,0.0273455273812358,0.001,0.0471634919941792,0.001,0.00654446662231093,0.011980047041493,0.0744816636898437,0.0042045999743632,0.0019155999926752,0.001,0.001,0.0219423674746149,0.0361053801818236,0.001,0.001762999993896,0.035650934031613,0.0640516063112888,0.0429055562042707,0.003288999981688,0.001,0.001,0.00463696663757093,0.0374174576036906,0.001,0.001,0.00797571991735042,0.0034851999801184,0.001,0.00562886662963573,0.01614361887652,0.001
"penis",0.0955671945538171,0.00305613477536652,0.00251698730199176,0.001,0.0230604269340414,0.00628364901402868,0.00605600855027534,0.0175330767037354,0.0599197083711672,0.00158983687471393,0.00902230931584989,0.001,0.00276951062414179,0.00604310527880409,0.0132476733463165,0.00206170637448507,0.0211537259826851,0.001,0.0805599178205561,0.00365426593621268,0.013753247810357,0.001,0.0233570560668599,0.00347744682873362,0.0505997532122516,0.0336497095306179,0.00485513724324401,0.00433679146266737,0.0328683076265571,0.001,0.0325607498275991,0.001,0.00649812229644055,0.0191757978470617,0.0702300013279756,0.00276951062414179,0.001,0.001,0.001,0.02731106968771,0.0262430436324244,0.001,0.00282006807054584,0.0642353858645424,0.0571842008317037,0.0751685656043536,0.00188475531207089,0.001,0.001,0.00312341274897014,0.0323141503214442,0.001,0.001,0.0115475472560452,0.00232713296810634,0.001,0.00308549466416711,0.0245283035752204,0.001
"person",0.135375873727244,0.00305211470307186,0.00485401563022487,0.00329014509840423,0.0217598268133777,0.0023850906624944,0.00567455302406126,0.0136828236521699,0.0587434787813616,0.00577330543288782,0.00990203013661796,0.001,0.00203420102799582,0.00255130154199373,0.00575252849839428,0.00255130154199373,0.0237594658084559,0.00173871501999702,0.0962663668089811,0.00173871501999702,0.00960218308345887,0.001,0.0302268825887392,0.00346238339999005,0.0513089304572039,0.0198331290375906,0.00318331328132451,0.00337004402249042,0.0480873121755502,0.001,0.0646347856963103,0.001,0.00548153778798189,0.0124808626024536,0.0551691020459287,0.001,0.00186183418999652,0.001,0.001,0.024788804166484,0.0288949570223809,0.001,0.00203420102799582,0.0342900017429197,0.045196308218709,0.0574775864834194,0.00445362125489953,0.001,0.001,0.00329014509840423,0.035870950072247,0.001,0.001,0.0143214941939462,0.00186183418999652,0.001,0.0058508952979804,0.0180810479318748,0.001
"pointy",0.102243007214564,0.0061979374584165,0.00285093274988485,0.00319365390098923,0.00638892281482102,0.0151891327235639,0.00259936537182046,0.0146026987538964,0.046984724495952,0.001,0.0047701711960694,0.001,0.00237088460441754,0.00524998080761554,0.0136847291375734,0.00195961922309228,0.0282314456446193,0.00291923844618455,0.0845715648844391,0.001,0.0215338667486871,0.001,0.0242749203557587,0.00339904805773069,0.0572424026959955,0.0199033216727828,0.00219952402886535,0.001,0.0261978591656735,0.001,0.0371545737473881,0.001,0.00716898071987892,0.0132618011839569,0.0637670906937374,0.00579809611546138,0.001,0.001,0.001,0.0350329026706272,0.0398727792777194,0.001,0.001,0.0714161957193394,0.0832467373223361,0.0574737838121072,0.00379888940068581,0.001,0.001,0.00259936537182046,0.0242288780192972,0.001,0.001,0.0115938915819155,0.00716898071987892,0.001,0.00291923844618455,0.0167388630442523,0.001
"quick",0.136932986595352,0.00611118223869721,0.00755893213572854,0.00267546906187625,0.0157089259576086,0.0101543104267655,0.00470687197034502,0.0169645996895099,0.0627667588344235,0.00199800399201597,0.00896051801159586,0.001,0.00162375249500998,0.00379995564426702,0.0150157435921807,0.00199800399201597,0.0281713188197919,0.00149900199600798,0.0671580484053538,0.00404945664227101,0.00995864604125083,0.00217819915724107,0.0221739219972753,0.00407717897538257,0.0549171378023174,0.0378770156512372,0.0063702119570383,0.00477023730317144,0.0293863651052873,0.001,0.050410278505039,0.001,0.00758219798498242,0.00948909846972721,0.0527413188485943,0.00271086398631309,0.001,0.001,0.001,0.0302456213114896,0.0507134119351485,0.001,0.00149900199600798,0.0373819059284029,0.0413921714867523,0.0524363611017503,0.00224750499001996,0.001,0.001,0.00391084497671324,0.0334849939370897,0.001,0.001,0.0129245635712702,0.001,0.001,0.0079563254443494,0.0193107810353319,0.001
"quiet",0.137556521495162,0.0032785339628641,0.00373674605274057,0.00492246030028297,0.0173429369984453,0.00832691549393086,0.00254856406209122,0.0250825860232108,0.0451209039699769,0.00175150903013251,0.0130081094959892,0.001,0.00220241444821201,0.00416364459835349,0.0143965298943655,0.00274896647012656,0.0265167693091364,0.001,0.0900906021021814,0.010025415033387,0.00561656205660967,0.001,0.0291644282151461,0.0054589535787862,0.056775498950811,0.0267525769754325,0.00270342046830035,0.00606731803175061,0.0444760590434423,0.001,0.0483771150999345,0.001,0.00315432588637985,0.00859403670449049,0.0430740568446722,0.00520845056874203,0.00166800802678445,0.001,0.001,0.0264662203783119,0.0316092315273832,0.001,0.00275352107030918,0.0520158068744029,0.0572790401567907,0.0543682314260195,0.00516565663853017,0.001,0.001,0.0048649035835386,0.0208905896546759,0.001,0.001,0.00949085916902092,0.00200201204017667,0.001,0.00893259531806534,0.0102503929709038,0.001
"rain",0.123283740523007,0.00433700259056355,0.00843268356903215,0.00170780424965671,0.0192535567837645,0.00518310275767277,0.00401322380568144,0.0198654074492016,0.0509177948055257,0.00203147747059073,0.0152175984404039,0.001,0.00160668935684861,0.00511558726518594,0.0114436943067597,0.00326497359890149,0.03353277046043,0.001,0.0822008462642429,0.00432667997338656,0.00607101743827441,0.00241560849931343,0.0302592794822378,0.00802422011768425,0.0407217226472418,0.0251917381043384,0.00620583729535188,0.001,0.0443413191179276,0.001,0.0380758829520965,0.001,0.00625797442602131,0.00609619059752835,0.0797080474646789,0.00326497359890149,0.001,0.001,0.001,0.0211066964348911,0.0270305550331286,0.001,0.00245605445643667,0.0435104917486877,0.045922187506109,0.0655308949813982,0.00170780424965671,0.001,0.001,0.00245605445643667,0.0387210163260106,0.00184936509958806,0.001,0.0159498369016779,0.00184936509958806,0.001,0.00851957752849586,0.0170216547654438,0.001
"raw",0.13722012180124,0.00455749709158681,0.00768436616046659,0.00164847562834046,0.010426201528068,0.00529398012663062,0.00383476488960258,0.0109083615003354,0.0399454535651615,0.0064196936119407,0.00923361464206091,0.001,0.00261207020656543,0.00359390251336184,0.0295937235340884,0.00393218130711565,0.029313409820781,0.001,0.104889487962465,0.00942106430414026,0.00573387208688536,0.001,0.0222261419794774,0.00722536603206842,0.0711916197983012,0.0200327596917925,0.001,0.001,0.0221032497337081,0.001,0.0442327706973503,0.001,0.00754048498195292,0.0109449820307403,0.0490296095824688,0.00245907016376604,0.00216725613101283,0.001,0.001,0.0308879890573696,0.0338012868720926,0.00245907016376604,0.001,0.0612228976306435,0.0562092921234988,0.0559823397852953,0.001,0.001,0.001,0.00420995436028528,0.0187382694927605,0.001,0.001,0.0103681568451327,0.00343178360627673,0.001,0.00786457772286116,0.0124088292365422,0.001
"red",0.129749146430627,0.0037387130500903,0.00568880006376314,0.00202304935292771,0.0237946718847876,0.00223932886211021,0.00227878388002982,0.0270596176854065,0.0616459405198429,0.00347232291769227,0.00870988665419535,0.001,0.00223616145884613,0.00428192643114369,0.01089916856443,0.00245449012289323,0.0222833518669828,0.00174589237071448,0.0751105066864311,0.0041327479570008,0.0108034906058053,0.00211883855607171,0.0155433979878007,0.00211883855607171,0.0673692762826245,0.0453502431997102,0.00649840357721457,0.003024565006225,0.0336471094094412,0.001,0.0371883227636833,0.001,0.00361062329750066,0.0115147600515609,0.0466278580997305,0.00525158651307251,0.00387712467441798,0.001,0.001,0.0323917469353414,0.0380549786610848,0.001,0.00350406724454145,0.0514798107858982,0.0563633069827318,0.0581888658935462,0.001,0.001,0.001,0.00512383049404075,0.0260871194281146,0.00137294618535724,0.001,0.00373493869261974,0.001,0.001,0.00692424332388351,0.0156852000319952,0.001
"right",0.140809626808015,0.0072648613465551,0.00662770012042895,0.00274311815928582,0.0173213773862586,0.0093166999334664,0.00882723459412938,0.0188674064609447,0.0543835958920186,0.00320449322245729,0.007700396932219,0.001,0.001,0.00904325277421941,0.00779145511523612,0.00453383586916521,0.0165971632365987,0.00237088460441754,0.091848370229202,0.00367451080111474,0.00534113458065554,0.0024916530100448,0.0319759959807009,0.00346759228795157,0.0597364079273338,0.0162955510098367,0.00669065474967956,0.00160928204640779,0.0382726294309172,0.001,0.0574191338444481,0.001,0.00712328456639834,0.00608519212868756,0.040794709324123,0.00258413332066027,0.0025146373918829,0.001,0.001,0.0251637546697756,0.0326749134361163,0.001,0.00178336263109574,0.0379204986070157,0.0602120011829494,0.0463415041220858,0.00291923844618455,0.001,0.001,0.00331976009606463,0.0408215272039053,0.00209670768353403,0.001,0.00727329211918276,0.00301063075314572,0.001,0.00760200617429018,0.0215328277891942,0.001
"ripe",0.130284291499369,0.00326665643072829,0.00836050877488003,0.001,0.0214965716792832,0.00519198769737692,0.0081169231744082,0.00826289642936349,0.0440155134457299,0.0035422393871035,0.00983116388306009,0.001,0.00326665643072829,0.00514311791557301,0.0108216259847766,0.0031244906198998,0.0317573210112132,0.00142649743248546,0.0858954031575558,0.00680658512035758,0.00625213845812648,0.001,0.0287568010780355,0.00544788615686819,0.0576365848435248,0.0222645671176609,0.001,0.00227949229745637,0.0487618734507726,0.001,0.0540423178529735,0.001,0.00355898459491274,0.0136099221862465,0.0556332492864966,0.00543557329784875,0.001,0.001,0.001,0.0294985339049211,0.031483914035365,0.001,0.00351633485166419,0.0404511385163619,0.0548805298516645,0.06530305304956,0.0020235938379651,0.001,0.001,0.00590084322419652,0.0235109406746133,0.001,0.001,0.00674349875747081,0.00429012305060209,0.001,0.00259225708127904,0.019515398469521,0.001
