"word","a","ã","ɑ","ɒ","e","ẽ","ə","ᶕ","ɤ","i","ĩ","ɨ","ᶖ","o","õ","ø","ⱺ","ɵ","u","ũ","ʉ","ᶙ","ɯ","ᶌ","ⱳ","y","ỹ"
"lung",0.291411420599035,0.0133042214889947,0.0150442142925033,0.00341835716322457,0.0877263500210462,0.00256971431287086,0.0137775867119017,0.001,0.00583671432644908,0.100888850578726,0.0110561428164079,0.0183117642266487,0.001,0.240771664154683,0.00439457140141486,0.001,0.001,0.00354592855106114,0.163467449454832,0.00354592855106114,0.001,0.001,0.00863778565318335,0.001,0.001,0.00329133569595503,0.001
"M_fs",0.430744930609045,0.0203589501494935,0.0203927884203929,0.00365697926415496,0.141410263842992,0.001,0.0287787302297204,0.001,0.00503734439834019,0.189309828475828,0.00307054770127794,0.0126293526363593,0.001,0.0658397451293814,0.001,0.001,0.001,0.001,0.0565236221885411,0.0023803651341853,0.001,0.001,0.00410582155191691,0.001,0.001,0.00376073026837059,0.001
"M_ms",0.430744930609045,0.0203589501494935,0.0203927884203929,0.00365697926415496,0.141410263842992,0.001,0.0287787302297204,0.001,0.00503734439834019,0.189309828475828,0.00307054770127794,0.0126293526363593,0.001,0.0658397451293814,0.001,0.001,0.001,0.001,0.0565236221885411,0.0023803651341853,0.001,0.001,0.00410582155191691,0.001,0.001,0.00376073026837059,0.001
"man",0.343725939968328,0.012345991632554,0.0138615509094804,0.00230366103950292,0.126483008559153,0.00300846611861024,0.0209096017005538,0.001,0.001,0.199020955667357,0.00512288135593219,0.0103384389413263,0.00512288135593219,0.125359430855803,0.00512288135593219,0.00240961015821464,0.001,0.001,0.102504522432133,0.00582768643503949,0.001,0.001,0.00512288135593212,0.001,0.001,0.00240961015821464,0.001
"many",0.379396353037072,0.0109001333552231,0.00920775764488336,0.00172006060030012,0.153295171355907,0.001,0.03242854550639,0.001,0.001,0.146812515558452,0.00895643633368181,0.0135334978363207,0.001,0.108229420359446,0.001,0.00316018180090036,0.001,0.001,0.111599441809023,0.001,0.001,0.001,0.00676048480240091,0.001,0.001,0.001,0.001
"maybe",0.364536644659399,0.00848461538461533,0.0112986693280106,0.00464613849224628,0.131500752341471,0.00291923844618455,0.0125154306771073,0.001,0.00291923844618455,0.191446210143815,0.0084846153846153,0.00611796918982548,0.001,0.131567628844874,0.001,0.001,0.001,0.001,0.0918422948973845,0.00931669993346636,0.001,0.001,0.00848461538461534,0.001,0.001,0.00291923844618455,0.001
"MF_fs",0.418403608599128,0.018375,0.022383875106929,0.0031160625178215,0.104471031151982,0.0074598125178214,0.0177809500047523,0.001,0.0031160625178215,0.17276050110663,0.00300491873396065,0.0061979374584165,0.0032276874821785,0.0932971497481228,0.00582665621138671,0.001,0.001,0.0032276874821785,0.101153121902454,0.003970249976238,0.001,0.001,0.0032276874821785,0.001,0.001,0.001,0.001
"MF_ms",0.418403608599128,0.018375,0.022383875106929,0.0031160625178215,0.104471031151982,0.0074598125178214,0.0177809500047523,0.001,0.0031160625178215,0.17276050110663,0.00300491873396065,0.0061979374584165,0.0032276874821785,0.0932971497481228,0.00582665621138671,0.001,0.001,0.0032276874821785,0.101153121902454,0.003970249976238,0.001,0.001,0.0032276874821785,0.001,0.001,0.001,0.001
"milk",0.210965723690464,0.00598945267360016,0.0146122736982176,0.001,0.109609977038405,0.0136052316419791,0.0122920684945897,0.00261928423854046,0.00349472633680008,0.237237792585255,0.0078719368280981,0.0202656956763165,0.001,0.137869415554855,0.00625265258955772,0.00612105263157893,0.001,0.001,0.17258041110761,0.00787193682809815,0.001,0.001,0.0129929894596771,0.00362632629477886,0.00437016843505971,0.00275088419651924,0.001
"MM_fs",0.401613670679949,0.0147085251111172,0.0164931415707397,0.00468340639877018,0.112984970697874,0.00760729682188129,0.00749361550870859,0.001,0.00316437444745213,0.173480664242292,0.00316437444745213,0.00696195432574724,0.001,0.105087481050077,0.00772147030140631,0.001,0.001,0.001,0.107632597818063,0.0032785479269771,0.001,0.001,0.0114048767001764,0.001,0.001,0.00251903195131806,0.001
